07/11/18 20:29:40:166 | [INFO] |  |  |  | AGSService |  |  | 618 | AdobeGCData folder already exists, validating permissions
07/11/18 20:29:40:166 | [INFO] |  |  |  | AGSService |  |  | 618 | Successfully created/fetched AdobeGCData Folder
07/11/18 20:29:46:693 | [INFO] |  |  |  | AGMService |  |  | 616 | Initializing Directory Watcher.
07/11/18 20:29:46:697 | [INFO] |  |  |  | AGMService |  |  | 616 | Stream created for path /Library/Application Support/Adobe
07/11/18 20:29:59:525 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | Initializing 
07/11/18 20:30:01:339 | [INFO] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility : inside getLatestGCApplication
07/11/18 20:30:01:343 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 6188 | ***********AdobeGC Updater library invoked = 5.0.0.950 ************
07/11/18 20:30:01:344 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6188 | Perform WF started
07/11/18 20:30:01:344 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6188 | Perform WF completed
07/11/18 20:30:01:344 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility :inside waitForCFUCallBack.
07/11/18 20:30:01:344 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Trying to acquire the semaphore
07/11/18 20:30:01:344 | [DEBUG] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Semaphore acquired
07/11/18 20:30:01:344 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Threaded CFU Started
07/11/18 20:30:01:344 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 6725 | Get client install path Started
07/11/18 20:30:01:344 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 6725 | Get client install path Ended
07/11/18 20:30:01:344 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Client sanitization started
07/11/18 20:30:01:344 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 6725 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
07/11/18 20:30:01:614 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 6725 | Status returned is 0 
07/11/18 20:30:01:614 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 6725 | Code signature is OK. 
07/11/18 20:30:01:614 | [DEBUG] |  |  |  | AdobeGCCodeSignWrapper |  |  | 6725 | Completed VerifyCodeSign. 
07/11/18 20:30:01:624 | [INFO] |  |  |  | AdobeGCVersionWrapper |  |  | 6725 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
07/11/18 20:30:01:635 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Client sanitization ended
07/11/18 20:30:01:636 | [INFO] |  |  |  | AdobeGCClientHealthUtil |  |  | 6725 | Checking CEF dependencies
07/11/18 20:30:01:636 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Threaded CFU Ended
07/11/18 20:30:01:636 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 6725 | Semaphore signalled
07/11/18 20:30:02:413 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility :  AdobeGC_CFUCallbackFn is invoked
07/11/18 20:30:02:413 | [ERROR] |  |  |  | AdobeGCInvokerUtilityHelper |  |  | 6188 | AdobeGCInvokerUtility : inside invokeGCApplication.
07/11/18 20:30:02:426 | [INFO] |  |  |  | AdobeGCUpdater |  |  | 6188 | ***********AdobeGC Updater library invoked = 5.0.0.950 ************
07/11/18 20:30:02:426 | [DEBUG] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Trying to acquire the semaphore
07/11/18 20:30:02:426 | [DEBUG] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Semaphore acquired
07/11/18 20:30:02:426 | [INFO] |  |  |  | AdobeGCUpdaterIC |  |  | 6188 | Perform WF started
